0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:40:19 +0900] "GET /miniProject/vendors/themify-icons/themify-icons.css HTTP/1.1" 404 1137
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:40:19 +0900] "GET /miniProject/vendors/magnefic-popup/magnific-popup.css HTTP/1.1" 404 1139
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:40:19 +0900] "GET /miniProject/vendors/linericon/style.css HTTP/1.1" 404 1125
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:40:19 +0900] "GET /miniProject/vendors/owl-carousel/owl.theme.default.min.css HTTP/1.1" 404 1144
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:40:19 +0900] "GET /miniProject/vendors/owl-carousel/owl.carousel.min.css HTTP/1.1" 404 1139
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:40:19 +0900] "GET /miniProject/css/style.css HTTP/1.1" 200 54756
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:40:19 +0900] "GET /miniProject/vendors/nice-select/nice-select.css HTTP/1.1" 404 1133
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:40:19 +0900] "GET /miniProject/vendors/jquery/jquery-3.2.1.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:40:19 +0900] "GET /miniProject/vendors/magnefic-popup/jquery.magnific-popup.min.js HTTP/1.1" 404 1149
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:40:19 +0900] "GET /miniProject/vendors/bootstrap/bootstrap.bundle.min.js HTTP/1.1" 404 1139
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:40:19 +0900] "GET /miniProject/vendors/owl-carousel/owl.carousel.min.js HTTP/1.1" 404 1138
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:40:19 +0900] "GET /miniProject/vendors/easing.min.js HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:40:19 +0900] "GET /miniProject/vendors/superfish.min.js HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:40:19 +0900] "GET /miniProject/vendors/nice-select/jquery.nice-select.min.js HTTP/1.1" 404 1143
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:40:19 +0900] "GET /miniProject/vendors/jquery.ajaxchimp.min.js HTTP/1.1" 404 1125
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:40:19 +0900] "GET /miniProject/vendors/mail-script.js HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:40:19 +0900] "GET /miniProject/js/main.js HTTP/1.1" 200 3593
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:40:19 +0900] "GET /miniProject/img/home/welcomeBanner1.png HTTP/1.1" 200 314376
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:40:19 +0900] "GET /miniProject/img/home/welcomeBanner2.png HTTP/1.1" 200 236146
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:40:19 +0900] "GET /miniProject/img/home/welcomeBanner3.png HTTP/1.1" 200 328772
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:40:19 +0900] "GET /miniProject/img/home/explore1.png HTTP/1.1" 200 406440
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:40:19 +0900] "GET /miniProject/img/home/bed-icon.png HTTP/1.1" 200 181986
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:40:19 +0900] "GET /miniProject/img/Logo.png HTTP/1.1" 200 3711
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:40:19 +0900] "GET /miniProject/img/home/explore2.png HTTP/1.1" 200 364409
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:40:19 +0900] "GET /miniProject/img/home/explore3.png HTTP/1.1" 200 400292
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:40:19 +0900] "GET /miniProject/img/home/special.png HTTP/1.1" 200 276986
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:40:19 +0900] "GET /miniProject/img/home/testimonial1.png HTTP/1.1" 200 9958
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:40:19 +0900] "GET /miniProject/img/home/testimonial2.png HTTP/1.1" 200 9798
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:40:19 +0900] "GET /miniProject/img/home/testimonial3.png HTTP/1.1" 200 10801
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:40:19 +0900] "GET /miniProject/vendors/jquery/jquery-3.2.1.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:40:19 +0900] "GET /miniProject/img/home/header-bg.jpg HTTP/1.1" 200 3348774
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:40:19 +0900] "GET /miniProject/img/home/down-arrow.png HTTP/1.1" 200 181388
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:40:19 +0900] "GET /miniProject/img/home/video-bg.png HTTP/1.1" 200 505200
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:40:19 +0900] "GET /miniProject/vendors/bootstrap/bootstrap.bundle.min.js HTTP/1.1" 404 1139
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:40:19 +0900] "GET /miniProject/vendors/magnefic-popup/jquery.magnific-popup.min.js HTTP/1.1" 404 1149
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:40:19 +0900] "GET /miniProject/vendors/owl-carousel/owl.carousel.min.js HTTP/1.1" 404 1138
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:40:19 +0900] "GET /miniProject/vendors/easing.min.js HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:40:19 +0900] "GET /miniProject/vendors/superfish.min.js HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:40:19 +0900] "GET /miniProject/vendors/nice-select/jquery.nice-select.min.js HTTP/1.1" 404 1143
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:40:19 +0900] "GET /miniProject/vendors/jquery.ajaxchimp.min.js HTTP/1.1" 404 1125
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:40:19 +0900] "GET /miniProject/vendors/mail-script.js HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:40:19 +0900] "GET /miniProject/img/favicon.png HTTP/1.1" 200 181986
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:41:12 +0900] "GET /miniProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:41:12 +0900] "GET /miniProject/vendors/fontawesome/css/all.min.css HTTP/1.1" 200 53592
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:41:12 +0900] "GET /miniProject/vendors/bootstrap/bootstrap.min.css HTTP/1.1" 200 140936
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:41:12 +0900] "GET /miniProject/vendors/owl-carousel/owl.theme.default.min.css HTTP/1.1" 200 1013
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:41:12 +0900] "GET /miniProject/vendors/themify-icons/themify-icons.css HTTP/1.1" 200 16435
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:41:12 +0900] "GET /miniProject/vendors/linericon/style.css HTTP/1.1" 200 8344
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:41:12 +0900] "GET /miniProject/vendors/magnefic-popup/magnific-popup.css HTTP/1.1" 200 6951
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:41:12 +0900] "GET /miniProject/vendors/owl-carousel/owl.carousel.min.css HTTP/1.1" 200 3351
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:41:12 +0900] "GET /miniProject/vendors/nice-select/nice-select.css HTTP/1.1" 200 4007
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:41:12 +0900] "GET /miniProject/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:41:12 +0900] "GET /miniProject/vendors/jquery/jquery-3.2.1.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:41:12 +0900] "GET /miniProject/vendors/bootstrap/bootstrap.bundle.min.js HTTP/1.1" 200 70966
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:41:12 +0900] "GET /miniProject/vendors/magnefic-popup/jquery.magnific-popup.min.js HTTP/1.1" 200 20216
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:41:12 +0900] "GET /miniProject/vendors/owl-carousel/owl.carousel.min.js HTTP/1.1" 200 44342
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:41:12 +0900] "GET /miniProject/vendors/easing.min.js HTTP/1.1" 200 2302
